"","Month","DayOfWeek","Seasons","TransportExpense","DistanceToWork","ServiceTime","Age","Workload","Hit.target","DisciplineFailure","Education","Children","SocialDrink","SocialSmoke","Pet","Weight","Height","Body.mass.index","AbsentTime"
"113",12,6,2,225,26,9,28,"261,306",97,"0",1,1,"0","0",2,69,169,24,2
"114",1,4,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,1
"115",1,2,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,1
"116",1,3,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,1
"117",1,3,2,155,12,14,34,"308,593",95,"0",1,2,"1","0",0,95,196,25,8
"118",1,4,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,2
"119",1,5,2,184,42,7,27,"308,593",95,"0",1,0,"0","0",0,58,167,21,2
"120",1,5,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,2
"121",1,6,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,1
"122",1,2,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"123",1,3,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,2
"124",1,3,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"125",1,4,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"126",1,5,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"127",1,6,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"128",1,2,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"129",1,3,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"130",1,3,2,179,26,9,30,"308,593",95,"0",3,0,"0","0",0,56,171,19,8
"131",1,3,2,289,36,13,33,"308,593",95,"0",1,2,"1","0",1,90,172,30,8
"132",1,4,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"133",1,5,2,184,42,7,27,"308,593",95,"0",1,0,"0","0",0,58,167,21,2
"134",1,5,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,2
"135",1,2,2,118,10,10,37,"308,593",95,"0",1,0,"0","0",0,83,172,28,0
"136",1,3,2,225,26,9,28,"308,593",95,"0",1,1,"0","0",2,69,169,24,1
"137",1,5,2,289,36,13,33,"308,593",95,"0",1,2,"1","0",1,90,172,30,3
"138",2,6,2,184,42,7,27,"302,585",99,"0",1,0,"0","0",0,58,167,21,1
"139",2,4,2,246,25,16,41,"302,585",99,"0",1,0,"1","0",0,67,170,23,8
"140",2,4,2,179,51,18,38,"302,585",99,"0",1,0,"1","0",0,89,170,31,8
"141",2,5,2,155,12,14,34,"302,585",99,"0",1,2,"1","0",0,95,196,25,2
"142",2,5,2,189,29,13,33,"302,585",99,"0",1,2,"0","0",2,69,167,25,8
"143",2,6,2,260,50,11,36,"302,585",99,"0",1,4,"1","0",0,65,168,23,2
"144",2,6,2,289,36,13,33,"302,585",99,"0",1,2,"1","0",1,90,172,30,8
"145",2,2,2,388,15,9,50,"302,585",99,"0",1,0,"0","0",0,76,178,24,8
"146",2,3,2,388,15,9,50,"302,585",99,"0",1,0,"0","0",0,76,178,24,8
"147",2,2,2,225,26,9,28,"302,585",99,"0",1,1,"0","0",2,69,169,24,2
"148",2,3,2,225,26,9,28,"302,585",99,"0",1,1,"0","0",2,69,169,24,2
"149",2,3,2,179,26,9,30,"302,585",99,"0",3,0,"0","0",0,56,171,19,1
"150",2,3,2,184,42,7,27,"302,585",99,"0",1,0,"0","0",0,58,167,21,8
"151",2,5,2,225,26,9,28,"302,585",99,"0",1,1,"0","0",2,69,169,24,3
"152",2,2,2,330,16,4,28,"302,585",99,"0",2,0,"0","0",0,84,182,25,8
"153",2,3,2,330,16,4,28,"302,585",99,"0",2,0,"0","0",0,84,182,25,1
"154",2,4,2,225,26,9,28,"302,585",99,"0",1,1,"0","0",2,69,169,24,1
"155",2,5,2,189,29,13,33,"302,585",99,"0",1,2,"0","0",2,69,167,25,8
"156",3,3,2,291,50,12,32,"343,253",95,"0",1,0,"1","0",0,65,169,23,2
"157",3,3,2,260,50,11,36,"343,253",95,"0",1,4,"1","0",0,65,168,23,8
"158",3,3,2,157,27,6,29,"343,253",95,"0",1,0,"1","1",0,75,185,22,3
"159",3,3,2,179,22,17,40,"343,253",95,"0",2,2,"0","1",0,63,170,22,8
"160",3,4,2,291,31,12,40,"343,253",95,"0",1,1,"1","0",1,73,171,25,8
"161",3,4,2,260,50,11,36,"343,253",95,"0",1,4,"1","0",0,65,168,23,8
"162",3,5,2,179,26,9,30,"343,253",95,"0",3,0,"0","0",0,56,171,19,8
"163",3,6,2,248,25,14,47,"343,253",95,"0",1,2,"0","0",1,86,165,32,3
"164",3,6,2,260,50,11,36,"343,253",95,"0",1,4,"1","0",0,65,168,23,40
"165",3,2,2,179,22,17,40,"343,253",95,"0",2,2,"0","1",0,63,170,22,40
"166",3,2,2,155,12,14,34,"343,253",95,"0",1,2,"1","0",0,95,196,25,16
"167",3,2,2,260,50,11,36,"343,253",95,"0",1,4,"1","0",0,65,168,23,16
"168",3,3,2,155,12,14,34,"343,253",95,"0",1,2,"1","0",0,95,196,25,8
"169",3,5,2,289,36,13,33,"343,253",95,"0",1,2,"1","0",1,90,172,30,8
"170",3,5,2,179,22,17,40,"343,253",95,"0",2,2,"0","1",0,63,170,22,8
"171",3,6,2,260,50,11,36,"343,253",95,"0",1,4,"1","0",0,65,168,23,4
"172",3,6,2,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,1
"173",3,2,2,279,5,14,39,"343,253",95,"0",1,2,"1","1",0,68,168,24,8
"174",3,3,2,179,51,18,38,"343,253",95,"0",1,0,"1","0",0,89,170,31,24
"175",3,4,2,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,2
"176",3,2,3,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,8
"177",3,2,3,179,26,9,30,"343,253",95,"0",3,0,"0","0",0,56,171,19,1
"178",3,3,3,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,8
"179",3,4,3,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,16
"180",3,4,3,179,51,18,38,"343,253",95,"0",1,0,"1","0",0,89,170,31,3
"181",3,5,3,279,5,14,39,"343,253",95,"0",1,2,"1","1",0,68,168,24,16
"182",3,6,3,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,2
"183",3,6,3,248,25,14,47,"343,253",95,"0",1,2,"0","0",1,86,165,32,3
"184",3,2,3,225,26,9,28,"343,253",95,"0",1,1,"0","0",2,69,169,24,1
"185",4,4,3,291,31,12,40,"326,452",96,"0",1,1,"1","0",1,73,171,25,1
"186",4,4,3,225,26,9,28,"326,452",96,"0",1,1,"0","0",2,69,169,24,1
"187",4,3,3,155,12,14,34,"326,452",96,"0",1,2,"1","0",0,95,196,25,1
"188",4,4,3,246,25,16,41,"326,452",96,"0",1,0,"1","0",0,67,170,23,24
"189",4,5,3,155,12,14,34,"326,452",96,"0",1,2,"1","0",0,95,196,25,1
"190",4,6,3,225,26,9,28,"326,452",96,"0",1,1,"0","0",2,69,169,24,2
"191",4,6,3,260,50,11,36,"326,452",96,"0",1,4,"1","0",0,65,168,23,4
"192",4,4,3,179,51,18,38,"326,452",96,"0",1,0,"1","0",0,89,170,31,24
"193",4,5,3,118,13,18,50,"326,452",96,"0",1,1,"1","0",0,98,178,31,1
"194",4,6,3,291,31,12,40,"326,452",96,"0",1,1,"1","0",1,73,171,25,3
"195",4,6,3,246,25,16,41,"326,452",96,"0",1,0,"1","0",0,67,170,23,8
"196",4,6,3,291,31,12,40,"326,452",96,"0",1,1,"1","0",1,73,171,25,1
"197",4,6,3,248,25,14,47,"326,452",96,"0",1,2,"0","0",1,86,165,32,8
"198",4,6,3,260,50,11,36,"326,452",96,"0",1,4,"1","0",0,65,168,23,56
"199",4,3,3,289,36,13,33,"326,452",96,"0",1,2,"1","0",1,90,172,30,8
"200",4,4,3,155,12,14,34,"326,452",96,"0",1,2,"1","0",0,95,196,25,24
"201",4,4,3,378,49,11,36,"326,452",96,"0",1,2,"0","1",4,65,174,21,8
"202",4,5,3,289,36,13,33,"326,452",96,"0",1,2,"1","0",1,90,172,30,16
"203",4,6,3,235,11,14,37,"326,452",96,"0",3,1,"0","0",1,88,172,29,3
"204",4,2,3,235,29,12,48,"326,452",96,"1",1,1,"0","1",5,88,163,33,0
"205",5,4,3,289,36,13,33,"378,884",92,"0",1,2,"1","0",1,90,172,30,8
"206",5,5,3,155,12,14,34,"378,884",92,"0",1,2,"1","0",0,95,196,25,2
"207",5,2,3,155,12,14,34,"378,884",92,"0",1,2,"1","0",0,95,196,25,1
"208",5,3,3,179,51,18,38,"378,884",92,"0",1,0,"1","0",0,89,170,31,8
"209",5,3,3,225,26,9,28,"378,884",92,"0",1,1,"0","0",2,69,169,24,8
"210",5,4,3,184,42,7,27,"378,884",92,"0",1,0,"0","0",0,58,167,21,4
"211",5,2,3,155,12,14,34,"378,884",92,"0",1,2,"1","0",0,95,196,25,2
"212",5,3,3,179,51,18,38,"378,884",92,"0",1,0,"1","0",0,89,170,31,1
"213",5,4,3,289,36,13,33,"378,884",92,"0",1,2,"1","0",1,90,172,30,24
"214",5,4,3,279,5,14,39,"378,884",92,"1",1,2,"1","1",0,68,168,24,0
"215",5,4,3,330,16,4,28,"378,884",92,"1",2,0,"0","0",0,84,182,25,0
"216",5,4,3,378,49,11,36,"378,884",92,"1",1,2,"0","1",4,65,174,21,0
"217",5,4,3,388,15,9,50,"378,884",92,"1",1,0,"0","0",0,76,178,24,0
"218",5,3,3,179,51,18,38,"378,884",92,"0",1,0,"1","0",0,89,170,31,1
"219",5,4,3,118,13,18,50,"378,884",92,"0",1,1,"1","0",0,98,178,31,24
"220",5,6,3,361,52,3,28,"378,884",92,"0",1,1,"1","0",4,80,172,27,8
"221",6,2,3,246,25,16,41,"377,550",94,"0",1,0,"1","0",0,67,170,23,8
"222",6,2,3,361,52,3,28,"377,550",94,"0",1,1,"1","0",4,80,172,27,8
"223",6,3,3,246,25,16,41,"377,550",94,"0",1,0,"1","0",0,67,170,23,24
"224",6,5,3,291,31,12,40,"377,550",94,"0",1,1,"1","0",1,73,171,25,4
"225",6,6,3,246,25,16,41,"377,550",94,"0",1,0,"1","0",0,67,170,23,8
"226",6,2,3,179,51,18,38,"377,550",94,"0",1,0,"1","0",0,89,170,31,8
"227",6,2,3,155,12,14,34,"377,550",94,"0",1,2,"1","0",0,95,196,25,4
"228",6,2,3,246,25,16,41,"377,550",94,"0",1,0,"1","0",0,67,170,23,8
"229",6,4,3,118,13,18,50,"377,550",94,"0",1,1,"1","0",0,98,178,31,8
"230",6,6,3,235,11,14,37,"377,550",94,"0",3,1,"0","0",1,88,172,29,16
"231",6,3,3,118,13,18,50,"377,550",94,"0",1,1,"1","0",0,98,178,31,1
"232",6,4,3,118,13,18,50,"377,550",94,"0",1,1,"1","0",0,98,178,31,80
"233",6,5,3,378,49,11,36,"377,550",94,"0",1,2,"0","1",4,65,174,21,8
"234",6,6,3,179,51,18,38,"377,550",94,"0",1,0,"1","0",0,89,170,31,2
"235",6,2,1,289,48,29,49,"377,550",94,"0",1,0,"0","0",2,108,172,36,2
"236",6,5,1,225,26,9,28,"377,550",94,"0",1,1,"0","0",2,69,169,24,2
"237",7,3,1,155,12,14,34,"275,312",98,"0",1,2,"1","0",0,95,196,25,16
"238",7,4,1,118,13,18,50,"275,312",98,"0",1,1,"1","0",0,98,178,31,8
"239",7,6,1,118,10,10,37,"275,312",98,"0",1,0,"0","0",0,83,172,28,8
"240",7,6,1,118,10,10,37,"275,312",98,"0",1,0,"0","0",0,83,172,28,4
"241",7,3,1,330,16,4,28,"275,312",98,"0",2,0,"0","0",0,84,182,25,8
"242",7,5,1,179,26,9,30,"275,312",98,"0",3,0,"0","0",0,56,171,19,8
"243",7,6,1,155,12,14,34,"275,312",98,"0",1,2,"1","0",0,95,196,25,2
"244",7,2,1,330,16,4,28,"275,312",98,"0",2,0,"0","0",0,84,182,25,8
"245",7,3,1,330,16,4,28,"275,312",98,"0",2,0,"0","0",0,84,182,25,8
"246",7,2,1,157,27,6,29,"275,312",98,"0",1,0,"1","1",0,75,185,22,3
"247",7,3,1,361,52,3,28,"275,312",98,"0",1,1,"1","0",4,80,172,27,8
"248",7,4,1,289,36,13,33,"275,312",98,"0",1,2,"1","0",1,90,172,30,8
"249",7,5,1,179,51,18,38,"275,312",98,"0",1,0,"1","0",0,89,170,31,8
"250",7,2,1,289,36,13,33,"275,312",98,"0",1,2,"1","0",1,90,172,30,32
"251",7,5,1,289,36,13,33,"275,312",98,"0",1,2,"1","0",1,90,172,30,8
"252",7,5,1,260,50,11,36,"275,312",98,"1",1,4,"1","0",0,65,168,23,0
"253",8,6,1,289,36,13,33,"265,615",94,"0",1,2,"1","0",1,90,172,30,8
"254",8,6,1,157,27,6,29,"265,615",94,"0",1,0,"1","1",0,75,185,22,3
"255",8,2,1,289,36,13,33,"265,615",94,"0",1,2,"1","0",1,90,172,30,1
"256",8,3,1,228,14,16,58,"265,615",94,"0",1,2,"0","0",1,65,172,22,8
"257",8,5,1,300,26,13,43,"265,615",94,"0",1,2,"1","1",1,77,175,25,1
"258",8,5,1,300,26,13,43,"265,615",94,"0",1,2,"1","1",1,77,175,25,2
"259",8,6,1,260,50,11,36,"265,615",94,"0",1,4,"1","0",0,65,168,23,4
"260",8,3,1,289,36,13,33,"265,615",94,"0",1,2,"1","0",1,90,172,30,4
"261",8,4,1,248,25,14,47,"265,615",94,"0",1,2,"0","0",1,86,165,32,1
"262",8,5,1,268,11,8,33,"265,615",94,"0",2,0,"0","0",0,79,178,25,8
"263",8,5,1,179,26,9,30,"265,615",94,"0",3,0,"0","0",0,56,171,19,1
"264",8,5,1,118,13,18,50,"265,615",94,"0",1,1,"1","0",0,98,178,31,3
"265",8,2,1,248,25,14,47,"265,615",94,"0",1,2,"0","0",1,86,165,32,2
"266",8,3,1,235,11,14,37,"265,615",94,"0",3,1,"0","0",1,88,172,29,1
"267",8,5,1,118,13,18,50,"265,615",94,"0",1,1,"1","0",0,98,178,31,1
"268",8,5,1,235,11,14,37,"265,615",94,"0",3,1,"0","0",1,88,172,29,8
"269",8,3,1,361,52,3,28,"265,615",94,"0",1,1,"1","0",4,80,172,27,8
"270",8,4,1,184,42,7,27,"265,615",94,"0",1,0,"0","0",0,58,167,21,8
"271",9,2,1,179,51,18,38,"294,217",81,"0",1,0,"1","0",0,89,170,31,8
"272",9,6,1,179,51,18,38,"294,217",81,"0",1,0,"1","0",0,89,170,31,3
"273",9,4,1,289,36,13,33,"294,217",81,"0",1,2,"1","0",1,90,172,30,24
"274",9,5,1,235,20,13,43,"294,217",81,"1",1,1,"1","0",0,106,167,38,0
"275",9,2,1,246,25,16,41,"294,217",81,"0",1,0,"1","0",0,67,170,23,16
"276",9,3,1,291,31,12,40,"294,217",81,"0",1,1,"1","0",1,73,171,25,3
"277",9,3,1,231,35,14,39,"294,217",81,"1",1,2,"1","0",2,100,170,35,0
"278",9,3,1,291,50,12,32,"294,217",81,"1",1,0,"1","0",0,65,169,23,0
"279",9,4,1,179,51,18,38,"294,217",81,"0",1,0,"1","0",0,89,170,31,8
"280",9,4,1,246,25,16,41,"294,217",81,"0",1,0,"1","0",0,67,170,23,32
"281",9,5,1,179,51,18,38,"294,217",81,"0",1,0,"1","0",0,89,170,31,1
"282",9,6,1,291,31,12,40,"294,217",81,"0",1,1,"1","0",1,73,171,25,4
"283",9,6,1,260,50,11,36,"294,217",81,"0",1,4,"1","0",0,65,168,23,4
"284",9,4,4,235,20,13,43,"294,217",81,"0",1,1,"1","0",0,106,167,38,8
"285",9,5,4,118,13,18,50,"294,217",81,"0",1,1,"1","0",0,98,178,31,1
"286",9,5,4,235,20,13,43,"294,217",81,"1",1,1,"1","0",0,106,167,38,0
"287",9,6,4,291,31,12,40,"294,217",81,"0",1,1,"1","0",1,73,171,25,3
"288",9,2,4,291,31,12,40,"294,217",81,"0",1,1,"1","0",1,73,171,25,40
"289",9,2,4,179,51,18,38,"294,217",81,"0",1,0,"1","0",0,89,170,31,8
"290",10,2,4,289,36,13,33,"265,017",88,"0",1,2,"1","0",1,90,172,30,8
"291",10,2,4,235,11,14,37,"265,017",88,"0",3,1,"0","0",1,88,172,29,4
"292",10,2,4,289,36,13,33,"265,017",88,"0",1,2,"1","0",1,90,172,30,8
"293",10,6,4,289,36,13,33,"265,017",88,"0",1,2,"1","0",1,90,172,30,8
"294",10,6,4,118,13,18,50,"265,017",88,"1",1,1,"1","0",0,98,178,31,0
"295",10,6,4,248,25,14,47,"265,017",88,"1",1,2,"0","0",1,86,165,32,0
"296",10,2,4,179,26,9,30,"265,017",88,"0",3,0,"0","0",0,56,171,19,8
"297",10,2,4,118,10,10,37,"265,017",88,"0",1,0,"0","0",0,83,172,28,3
"298",10,2,4,369,17,12,31,"265,017",88,"0",1,3,"1","0",0,70,169,25,8
"299",10,4,4,179,51,18,38,"265,017",88,"0",1,0,"1","0",0,89,170,31,1
